NCG	NCC	NHC	NHU	NHG	Name
#!{Type}E	E	E	E	E	T
0.238657027482986	-0.851822793483734	0.56443727016449	0.930602967739105	-1.59071505069733	rla0
0.498963236808777	-0.376203119754791	0.646334648132324	-0.132785364985466	-1.72735333442688	rla1
0.880350768566132	-0.703853964805603	0.709542870521545	0.53027755022049	-1.69353914260864	rla2
-1.25839185714722	NaN	NaN	NaN	-1.48185217380524	rlf
-1.4279727935791	NaN	NaN	NaN	-2.26490163803101	rlp24
-0.136872842907906	1.81309795379639	0.346324235200882	-0.38789626955986	-1.02648222446442	rmi1
-1.95197868347168	0.783412456512451	0.531952738761902	0.035486426204443	0.536290347576141	rmi2
-1.5938446521759	NaN	NaN	NaN	-1.71686589717865	rn219
-0.285353690385818	0.173218533396721	0.884123802185059	1.28507399559021	-0.616387486457825	rnh1
-1.60331344604492	NaN	-0.70710676908493	0.70710676908493	-1.73683869838715	rnh2a
-1.2428275346756	NaN	-0.70710676908493	0.70710676908493	-1.79762029647827	rnh2b
-1.2405127286911	NaN	NaN	NaN	-2.33321261405945	rnh2c
-0.128565669059753	-0.655258297920227	0.001145547372289	-0.727235972881317	-0.446149230003357	rnp1b
0.354401797056198	-0.207489430904388	0.953128099441528	0.893087208271027	-1.75121963024139	ro32
-0.519515812397003	-0.518327951431274	1.18345379829407	1.21026408672333	-0.0961553007364273	roa0
-0.421723604202271	-0.711892008781433	1.41467773914337	1.11566174030304	-0.481652408838272	roa1
0.48084345459938	0.174324840307236	-0.637106895446777	-0.723138988018036	-0.981814622879028	roaa
-0.0524125285446644	-0.720040440559387	-0.288682729005814	-0.748025178909302	-0.144081488251686	rp9
0.252447634935379	0.0377408638596535	1.70846140384674	-0.0519698485732079	-1.21677684783936	rpa1
0.0396421700716019	-0.654092788696289	1.50220513343811	-0.599245965480804	0.833819448947906	rpa2
-0.493981748819351	-1.78577375411987	0.642242133617401	0.480288088321686	0.935163855552673	rpa34
-0.792634904384613	-0.48543119430542	0.591430902481079	-0.755612909793854	1.76402997970581	rpa43
0.129644602537155	0.30481293797493	1.4793735742569	-0.18590821325779	-1.63022327423096	rpa49
0.946874499320984	0.183115065097809	0.727830827236176	-1.05381941795349	0.624258637428284	rpab1
0.218315094709396	0.664376795291901	0.966243147850037	-1.43530642986298	0.639255166053772	rpab3
-0.271548479795456	-0.857010066509247	1.30416548252106	0.136379301548004	-1.25682926177979	rpac1
0.935343146324158	0.750465989112854	-0.201507017016411	-1.59999811649323	0.748732268810272	rpb1
1.02449595928192	1.02878606319427	-0.388793617486954	-1.55410647392273	0.344501435756683	rpb11
0.840472996234894	0.850027024745941	-0.0506807640194893	-1.61257946491241	0.681975960731506	rpb2
1.17816495895386	0.609101116657257	-0.439217954874039	-1.4288067817688	0.0807585790753365	rpb3
-1.06375277042389	NaN	NaN	NaN	-1.63048529624939	rpc1
-1.0202317237854	NaN	NaN	NaN	-1.95863568782806	rpc2
-1.06793308258057	NaN	NaN	NaN	-1.62580943107605	rpc4
-1.36888837814331	NaN	NaN	NaN	-1.62791621685028	rpc5
-1.77358877658844	NaN	NaN	NaN	-1.80958533287048	rpc6
-1.37761557102203	NaN	NaN	NaN	-1.83806014060974	rpe
-1.28329169750214	NaN	NaN	NaN	-1.814812541008	rpia
-0.243578106164932	0.0407669469714165	0.95296323299408	1.18233478069305	-0.347494512796402	rpp30
-0.151199817657471	0.0770456790924072	0.775423169136047	1.25430715084076	-0.312770783901215	rpp38
-1.27731478214264	NaN	NaN	NaN	-2.08405756950378	rreb1
1.30997383594513	0.0292622800916433	-0.182383030653	-1.4403520822525	-0.611592650413513	rrmj3
-0.0734028145670891	-1.7865959405899	0.766215324401855	-0.240061685442924	0.300589233636856	rrp5
0.644488334655762	-0.563356876373291	-1.20551633834839	-0.879323959350586	0.872704803943634	rrp7a
0.788032948970795	-0.0693697333335876	-1.04143440723419	-1.19106793403625	0.154794707894325	rs10
1.3148854970932	-0.306796699762344	-1.36319255828857	-0.735155165195465	0.241919383406639	rs11
0.80189847946167	-0.650100708007813	-1.13200926780701	-0.899050772190094	0.741165459156036	rs12
-0.339449495077133	-1.59662961959839	0.894976675510406	1.22100520133972	-0.207272931933403	rs13
0.70894181728363	-0.16186298429966	-1.16810584068298	-1.10510754585266	0.418265223503113	rs14
-0.348262339830399	-0.725909888744354	-0.855581402778625	0.333950877189636	1.85500407218933	rs15
1.37767243385315	-1.12667202949524	0.138103350996971	0.233325883746147	-1.19591987133026	rs15a
0.876486778259277	-0.579637050628662	-1.18144237995148	-0.874039888381958	0.571382939815521	rs16
0.844541549682617	-0.547785758972168	-1.22520935535431	-0.794035851955414	0.430220186710358	rs17
0.583051979541779	-0.473421782255173	-1.0848296880722	-1.06060373783112	0.841920077800751	rs18
0.832268595695496	-0.182350680232048	-1.07395899295807	-1.24345970153809	0.530255794525146	rs19
0.962885558605194	-0.517494320869446	-1.159912109375	-0.923640012741089	0.455240726470947	rs2
0.456973940134048	-0.646991848945618	-1.13467943668365	-0.609426558017731	0.317731350660324	rs21
0.679877161979675	-0.670647501945496	-1.04026257991791	-0.870755136013031	0.482258021831512	rs23
1.16987800598145	-0.0697025582194328	-0.726081788539886	-1.05295062065125	-0.598708987236023	rs24
0.87873774766922	-0.294104427099228	-1.0365229845047	-0.624885976314545	-0.485510885715485	rs25
0.765389084815979	-0.396040409803391	-1.0263911485672	-1.05909943580627	0.305988639593124	rs26
-0.417405009269714	0.0303750038146973	0.843091726303101	1.41273033618927	-0.503091216087341	rs27a
0.587948501110077	-0.199367985129356	-0.831765830516815	-1.33016073703766	0.347679197788239	rs31
1.01024925708771	-0.134770587086678	-1.33847367763519	-0.937060177326202	0.305336266756058	rs3aa
0.306324988603592	-1.15657603740692	-1.08855009078979	-0.0211288798600435	0.499108552932739	rs4
1.21421146392822	0.144780531525612	-0.610054790973663	-1.47582828998566	-0.224052384495735	rs5
0.598514974117279	-0.248428478837013	-1.02826642990112	-0.887765765190125	-0.0855057686567307	rs6
0.705595016479492	-0.563008904457092	-1.00213646888733	-1.01306009292603	0.4883913397789	rs7
0.535308837890625	-0.520233273506165	-0.933785498142242	-0.6411172747612	-0.205805614590645	rs8
1.27550661563873	-0.196498528122902	-1.09656095504761	-1.14650642871857	0.31742525100708	rs9
-0.0893563330173492	1.40106081962585	-0.76728880405426	0.531570076942444	-1.07598567008972	rsf1
-1.20223701000214	NaN	NaN	NaN	-1.73582446575165	rsmb
0.642041981220245	-0.464370906352997	-0.794146239757538	-0.90523773431778	-0.178348869085312	rssa
-1.28382396697998	NaN	NaN	NaN	-1.98852169513702	rtc1
0.129385128617287	-0.628073513507843	0.75674694776535	1.44732177257538	-0.36936029791832	rtcb
-0.900561332702637	0.733605146408081	1.08638072013855	0.899489343166351	-0.849105179309845	rtel1
1.13465046882629	0.513098120689392	0.360317319631577	0.476901680231094	-1.28993248939514	ru17
-0.00263726012781262	0.553135573863983	-0.00774298002943397	0.302276104688644	1.03446137905121	ru1c
-0.121911481022835	-0.450279116630554	0.971154689788818	1.15297508239746	-1.58394110202789	ru2a
0.397157192230225	0.883416891098022	0.603923261165619	-0.0967632979154587	0.128326132893562	ruvb1
0.314032375812531	0.979689836502075	0.614512145519257	-0.344285726547241	0.272176027297974	ruvb2
-1.50766289234161	NaN	NaN	NaN	-2.05865526199341	s10ab
-1.3971232175827	NaN	NaN	NaN	-2.32880091667175	sae1
-1.22067832946777	NaN	NaN	NaN	-2.28604412078857	sae2a
-1.46274936199188	NaN	NaN	NaN	-2.08572888374329	safb2
-0.904247403144836	NaN	NaN	NaN	-1.65374338626862	sahhb
-0.722910046577454	0.585678517818451	-0.676725447177887	-0.675879180431366	1.48983609676361	sall4
-1.37143135070801	NaN	NaN	NaN	-1.96820282936096	sar1a
-1.57423090934753	NaN	NaN	NaN	-1.72262156009674	sarnp
-0.528778851032257	-0.387721985578537	1.16642606258392	1.36593282222748	-0.669647216796875	sart3
-1.20060658454895	NaN	NaN	NaN	-1.90603673458099	sbno1
