pCTR_no_LacI_with_LacI	Un_nicked_LacI	Un_nicked_with_LacI	Lead_nicks_with_Geminin	Lag_nicks	Lead_nicks	Lead_nicks_with_BRC	Name
#!{Type}E	E	E	E	E	E	E	T
NaN	NaN	NaN	-1.84037065505981	-0.730316579341888	-0.409424334764481	1.13974094390869	a16a1
1.48339569568634	0.389063775539398	-0.253254413604736	-1.1803070306778	0.80171811580658	-1.2442421913147	0.00362612772732973	aatc
0.913232088088989	-1.69801437854767	-0.315859586000443	-0.528318762779236	0.0617671087384224	0.203940108418465	1.36325335502625	abce1
-0.966968178749084	-0.56300014257431	-0.730830669403076	-0.429597854614258	-0.135496512055397	1.31771111488342	1.50818228721619	abcf1
-0.324926614761353	-1.27308535575867	-0.753751397132874	-0.486680567264557	0.460008770227432	1.65213882923126	0.726296424865723	abcf2
NaN	NaN	NaN	-2.18601560592651	NaN	NaN	NaN	abcf3
NaN	NaN	NaN	-2.21877121925354	NaN	NaN	NaN	abheb
0.0139740156009793	2.12956786155701	-0.106330312788486	-1.05125939846039	-0.413918256759644	-0.204306870698929	-0.367727041244507	acbp4
NaN	NaN	NaN	-2.06180500984192	NaN	NaN	NaN	acd
-0.151320457458496	-1.90881013870239	-0.397782444953918	-0.0468322709202766	1.03746068477631	0.8344766497612	0.632808029651642	acl6a
NaN	NaN	NaN	-1.70689105987549	NaN	NaN	NaN	acly
0.224235847592354	-2.14674520492554	0.793612062931061	0.796491682529449	0.180235847830772	-0.0522135011851788	0.204383313655853	acrc
-0.310012459754944	-1.41293239593506	0.475352644920349	-1.18138074874878	0.34954297542572	1.01056599617004	1.06886386871338	actc
0.656740844249725	-0.0323320366442204	0.811449766159058	-2.06059193611145	-0.332413047552109	0.261094778776169	0.69605153799057	actg
NaN	NaN	NaN	-2.40386009216309	NaN	NaN	NaN	actn1
-0.775771021842957	NaN	NaN	-2.05983209609985	-0.525322139263153	-0.148138031363487	1.44923114776611	actn4
0.0115968249738216	-0.491860300302505	1.87124538421631	0.0630204826593399	-1.49556541442871	0.106886811554432	-0.0653238520026207	actz
